1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;13;15;29;13;13;16;13;13;15;15;15;14;32;15;14;18;18;14;14;14
7;203;182;312;131;159;162;137;224;150;153;185;157;140;149;189;157;190;201;137;174
8;1609;1591;1558;1537;1477;1541;1669;1473;1600;1785;1587;1965;1802;1531;1594;1519;1571;1690;1660;1795
9;15765;15269;16274;14024;15081;14612;15114;15006;14746;14988;14231;15013;14788;15339;15588;14500;15639;14739;14626;15268
10;151511;159229;175139;179949;179787;172364;173140;177024;175568;175623;188523;170108;156926;164432;154258;182519;185585;185616;309190;2672126
